Disease name	List of shared genes
Behcet Syndrome	MGST3;SCN5A;ZFP90;MLANA;TCL6;CR1L;HMGB1;ARPP21;ESRRG;SLCO1C1;IL1RL1;RGMB;ABCA7;GSDMA;CD247;PEX5L;CDH12;ADIPOR2;CACNA1C;PLG;RYR2;CCDC26;ETV6;
Goiter	LMX1B;GNA12;IGF1;FBXL20;DNAH5;CD247;TAB1;CLEC16A;PHGDH;ATF7IP;BACH2;UBASH3A;XPO7;PTPRG;JAK2;MAP2K5;FOXE1;
"Diabetes Mellitus, Type 4"	HLA-DQB1;TNXB;BAG6;MSH5;HLA-DRB1;HLA-DRA;NOTCH4;BAT2;CDKN2B-AS1;HLA-DQB2;C6orf97;CDKAL1;BAT1;SPIB;MICB;LOC441167;NSF;BTNL2;SLC22A1;CTLA4;LEF1;C6orf10;TBC1D30;ZMIZ1;IRF2BPL;HLA-DQA2;NCAPD3;RAPGEF5;SIK3;NXPH1;BUD13;HLA-DPB1;NAV2;HLA-C;MTNR1B;PLEKHM1;PAFAH1B2;IRS1;EHHADH;NAA25;PSMB8;DRD2;LIPC;PRDM16;RHOU;GPR124;DYSF;DPEP2;TMTC1;SEC14L1;AGBL1;IL1RAP;MYH9;TCF7L2;ARL5B;FGFR1OP;CFH;ZBP1;TMEM196;NAV3;TSEN2;SFPQ;MUC1;FTO;IGF2BP2;APOA5;IL18R1;G6PC2;NKX2-3;WNT3;RBMS3;FLT1;
"Genital Neoplasms, Female"	RAP1GDS1;FGFR1OP;CLPTM1L;ABCA1;PSORS1C1;ESR1;TTC3;QKI;MAX;WDR37;FUT2;FUNDC1;RAD51B;BCL11A;MICB;CCR6;C19orf62;DYSF;HMGA2;NBAS;IREB2;CLEC2D;SLC9A9;ADAMTSL3;C10orf122;HUNK;UQCC;TM7SF4;RNASET2;PCSK5;ZNF292;CNTN4;KCNH8;NAA25;CENPC1;CLECL1;MARC1;FAM91A1;EIF6;ASAP2;PANK1;CTNND2;PSMD6;HS3ST3B1;
Bronchitis	MSRA;CD180;RFX6;FAM131C;PTPN2;CRIM1;NAT2;MAD2L1;HNF1A;SLC22A23;PAPL;CMKLR1;NCKAP5;UNC5C;ITIH1;CDH4;PHLDB1;FRMD4B;SPPL3;NKAPL;RPS26;C10orf11;FAM155A;EXTL2P1;FLJ41733;PSMG1;WDR72;PBRM1;CSMD1;
Sunburn	IRF4;ZNF521;TNFSF14;KCNE3;CTNND2;DLG2;ERAP1;PDLIM5;PRL;PTPRD;EPS15;AAK1;HLA-DQB1;CDK6;HLA-DQA2;COL13A1;HERC2;CDH4;C6orf129;TNXB;PALMD;RYR2;NFAT5;PCGEM1;ATOH7;VGLL3;CCDC134;MC1R;
Insect Bites and Stings	TRIM10;NAA25;SLC7A9;LOC100505844;NTNG2;F12;DYNC1H1;NXPH2;MTHFR;CENPF;TRPT1;PTBP2;SAFB2;IVD;CLSTN2;TNFRSF11B;C10orf67;RBM38;NME7;ATXN2L;APOB;TMEM38B;LIPC;
Sclerosis	PAPD7;NKX2-6;DCC;OPTN;LAMC2;MUC22;ABO;SALL4;EFHD1;ETS1;LRRC4C;BIN2;IL17REL;FOXO3;
Hyperbilirubinemia	UGT1A1;UGT1A10;HEATR7B1;C9orf5;MGC45800;PDE3A;NKX2-6;CUEDC1;DGKD;IRF8;FAM49B;GSDMB;GJA1;SPRED2;IKZF3;TNFRSF11B;LRRC16A;SLC17A3;DAB2IP;VCAN;ZNF536;KLK3;SLC22A5;CRIM1;SLC17A1;TNRC6B;
Sebaceous Gland Diseases	JAG1;PALMD;TOMM40;MEPE;IRF4;SF1;PHGDH;WDR72;HFE;FGF1;REL;TRIM38;FAM49B;TNRC6B;CLPTM1L;TBC1D30;SLC39A11;MICB;GRIK5;BACH2;MFHAS1;OSBPL10;SP7;HERC2;ANO6;
"Menopause, Premature"	CLSTN2;DUSP10;LIPA;IGF2;UQCC;NOS1AP;CRYGC;FASTKD2;HOXC13;RYR2;EPAS1;GPLD1;ZMIZ1;DNAI2;IL2RA;DDAH1;TMEM175;PLCB1;CYP2C9;LOC650157;CD69;TGFA;MXI1;OR10J3;REV3L;ATP6V0A4;IVD;UIMC1;ICAM1;ADAMTS12;CTLA4;BRP44;LRRC4C;LPIN2;ACOXL;PALMD;CDH4;HNF4A;NLRP3;ATL1;KNG1;RFTN1;LYRM4;FAM5C;MIR137;BAG3;PTPRD;STIM2;VGLL3;PLAG1;CDK4;NIN;
Drug Resistant Epilepsy	ELMO1;ZIC1;CCR4;CAAP1;CDH4;VAV2;IRF1;RNF44;IL4R;CETP;VGLL4;LBX1;SKAP1;PRDM16;C9orf5;SH3BP5;KIRREL3;CAPSL;THADA;HLA-DRB1;CDKN2B-AS1;IKZF1;RREB1;
Spermatocele	SLC30A7;CRYGC;TP53INP1;SLC15A4;RAB3GAP1;BRSK1;ACOXL;DBC1;C6orf103;GJA1;NXPH2;MKL1;ABCA1;LOC650157;IL1R2;C6orf170;ELMO1;
Anisometropia	PDE7B;NRIP1;WNT3;IL2RA;TF;EIF3F;SLCO3A1;TERT;CGNL1;ZNF385D;FARP2;PZP;RPSAP52;TOPBP1;PDGFD;ACP5;NYNRIN;MTAP;PARD3;DARC;HUNK;KATNAL2;ADIPOR2;ARAP2;MTHFD1L;
Glaucoma	DNAH11;BRSK1;AGXT2;NAPRT1;MAOA;NUP205;UIMC1;ADH1C;DUSP9;HLA-DRB1;ATXN2L;ZNF462;CHEK2;PSMB8;MICA;KIF11;LOC643308;LINGO1;MS4A6A;PLCB1;MPP7;PSMG1;ABCG2;SLC22A1;PLCL1;IL27;TOMM40;TCL1A;HLA-B;CLSTN2;RFX6;CGNL1;PTPN22;
Sweat Gland Diseases	HFE;MPV17L2;CHEK2;ATP2B1;DLEU7;FAT4;EDC4;TP63;CTNNA2;CMTM8;HOXC13;FAM82A1;SLC17A1;TCF4;DOK2;TIMM23;LOC100131818;TF;UGT1A1;UGT1A10;APOA5;GLIS1;HS3ST3B1;
Bone Neoplasms	MYH9;HLA-DPA1;C14orf181;UBE3C;ADRA2A;SLC14A1;PARP1;ABCA1;KCNQ1;FAM49B;THADA;CDRT4;PCDH9;OR8S21P;C11orf49;NUBPL;PPM1E;TCF4;ABCC4;SH3GL2;ACTA2;CCL4L2;IKZF4;C6orf48;KHDRBS2;DAAM2;WDR72;SOX8;ICOS;KIF11;WDR12;C6orf106;GPR124;IGLL1;RELN;TNFRSF11B;DAP;MAX;FGF3;RIT2;STAT4;CXCR5;HLA-DRA;TNXB;CACNB2;
Anorexia	FGFR2;FLJ41733;SP140;PHACTR1;HLA-DPB1;HLA-DRB1;EPHA4;PTPRG;COL1A2;CSF2RB;BANP;CAAP1;MAX;HLA-DRA;
Gynecomastia	C6orf97;C1QTNF7;ODF3B;ABCA7;ATP2B1;TYMP;USP46;IRS1;DAAM2;LINGO1;MACROD2;HSD17B6;DENND4A;BTN1A1;ACOXL;TSLP;H2AFY;HLA-DRA;WWOX;SLCO5A1;ZNF280B;
Hypoventilation	ETS1;SELP;C3orf38;PTBP2;DUSP9;SLC1A7;TSLP;ADRA2A;
Pulmonary Heart Disease	SLC22A1;CD226;COL11A1;FOXO6;SUPT3H;MGAT1;CPEB1;TMTC2;NOD2;KDM4C;GHSR;LOC441167;SLC14A2;ABCG8;FAS;METTL1;SLC28A1;LIPG;FOXO1;TMEM175;RNASE9;IL7R;PLA2G6;AGTR2;
Anxiety Disorders	BET1L;SEL1L3;CETP;GPLD1;EXOC3L2;TRIM10;ZNF259;GATA3;PBRM1;CRTAC1;MYO1D;SMAD3;IL25;PRKCZ;ITIH1;MMAB;UBASH3A;SIAE;ZMIZ1;ZBTB46;C8orf80;KCNC4;PRPH;CCL21;DKK1;ZNF827;MAP3K3;KIAA1109;SIK3;PTGER4;CRP;PBLD;PLG;SCARB1;CD33;GLIS1;CAPZA1;CRTC3;WDR66;TGM5;DNM3;FRMD6;PDGFD;TGFBRAP1;MYT1L;
Lip Diseases	CORO2B;ATP10D;BARD1;PAX5;C6orf183;MICA;LRRC32;SUCLG2;SPTBN1;BANK1;C2orf43;C6orf97;CACNA1S;FDPSP6;C1GALT1;CKAP5;LRP4;HLA-B;IMMP2L;BTBD9;CXCR5;CDH12;RPL22P13;
"Spondylitis, Ankylosing"	SFPQ;PTPRD;SPATA7;VCX3B;PRKAR2B;DAP;CEBPE;DMRT1;RGS14;KSR2;BTNL2;GARNL3;GLIS3;PROX2;PTPN2;HLA-DQB1;HLA-B;EIF3H;
Choroid Diseases	IL27;NAPRT1;ZNF469;PXK;AKD1;LAMB1;FGF5;ATXN2L;FARP1;ATP2B1;TNFRSF19;SLC26A3;C17orf62;PSMA7P;TMEM79;PZP;BARD1;NKX2-3;CGNL1;RGS6;PDGFD;FUT6;CYP2C19;KIF13A;NOS1AP;RUNX3;SGPP1;
Kidney Diseases	IRF2BPL;C11orf49;MACROD2;TIMM23;TIMP2;SCN5A;C3orf1;PLXDC2;LAMB1;BAD;BAIAP2L1;EDIL3;ZBTB40;CYP1A1;ANTXR1;MSRA;
Cholesteatoma	DLEU7;PLAG1;DRD2;ZBTB46;KIRREL3;PHACTR1;RIN3;C1orf81;IFI27L1;SLFN14;TBC1D30;ABCG5;PPP2R5E;CEP152;KIF21B;AHRR;DBC1;DGKH;TP53INP1;IL12A;TRPC5;ADAM19;PCSK5;CYP1A1;CCR6;BTD;
Adjustment Disorders	MITF;PROX2;DGKH;SGCG;EXOC3L2;TSLP;SMAD3;DDAH1;EVC;PSORS1C1;FDPSP6;MLPH;EHHADH;BET1L;GRM5;MICB;SUPT3H;PCIF1;EPHA1;WDR66;TNNI3K;CAAP1;RHOD;EFEMP1;ELMO1;ICOSLG;ZNF827;RIMS1;RNF5P1;DKKL1;PLTP;CHRDL1;
Thyrotoxicosis	FGF7;HLA-DQB1;CTLA4;MX2;PHEX;MSH5;MICB;BAG6;SLCO1B1;BAT1;HLA-DRA;DYSF;JAK2;TM7SF4;HLA-A;BTNL2;PSORS1C1;KIAA1462;FOXE1;PTPRD;TSHR;SYCP2L;CRP;C6orf191;GDA;KCNK12;PRUNE2;HLA-DPB2;BACH2;HSD17B6;SKIV2L;SHISA9;CCHCR1;SLC44A4;ADH7;ZNF462;PTPN22;C8orf42;HLA-C;LRRC58;
Trigeminal Nerve Diseases	H2AFY;SLC22A1;GAK;NCOR2;CRP;DARC;PDE4D;DGKQ;ZDHHC19;AAK1;ST6GALNAC3;FOXP4;TGFA;TTR;FTO;VCX3B;NKX3-1;ZNRD1-AS1;SPRY4;RNF212;RNASE9;HHIP;MAPT;FADS2;WDR41;CETP;
Torsion dystonia with onset in infancy	FAM162B;LOC391642;RYR2;C20orf194;MEPE;PRKAG2;C6orf10;CSRP2BP;SYK;FGF3;CCDC60;NOS1AP;DNAH11;C8orf12;FLJ32955;TMEM18;TSLP;SLC15A2;HHEX;SPPL3;
"Granuloma, Pyogenic"	PSCA;SASH1;PAX2;C11orf93;ZNRD1-AS1;GRB14;BIN2;CHEK2;IL2RA;PRDM16;BCMO1;COL27A1;ACTN1;CYP24A1;PTPRG;ANTXR2;
"Diabetes Mellitus, Type 7"	TCF7L2;SEC14L1;HHEX;AGBL1;CNTN4;AP3S2;TAB1;PABPC4;RBBP6;DLG2;ADAMTS9;HLA-DRA;SLC45A2;SLC30A8;NOTCH4;ATG16L1;TIMP2;CFH;HCCS;G6PC2;ABCA1;HLA-DQB1;CABLES1;ACCN1;C8orf47;IRS1;KIF11;IL12A;TCF4;HLA-C;MSRA;PLEK;MIR137;
Atrophic Vaginitis	PRKD2;ADAMTS10;FAF1;ADH7;BTNL2;C9orf72;SF1;BAZ1B;SLCO3A1;IL11;MOBKL2B;FOXO3;EPC2;OR10J3;ADIPOR2;TBC1D30;CACNB3;MSH5;LOC100289473;RIN2;BAG6;PCSK5;ADAM19;GPLD1;C20orf196;
Spondylosis	CD276;KCNH2;CAMK2B;ITGA8;AMIGO2;C1orf125;GSDMB;CHEK2;CCHCR1;SFPQ;FREM1;DISC1;SLC14A2;MTMR4;DNM1;CDK4;IKZF3;DUSP10;ZFAND3;NOS1AP;NRSN1;GCK;DCDC5;RFTN1;CDK10;PREX1;PRKAG2;GSDMA;PLXDC2;BICD1;GALNT3;GRM5;PRICKLE2;HMGCR;ABCA1;UBASH3A;HUNK;VRK2;DSG3;CCDC26;WDR64;STAT4;NR5A2;MMP3;ATXN1;PRKG1;TNFSF15;GRM7;TNFRSF11B;GRIK1;ELMO1;PICALM;
Muscle Weakness	DOK2;COG6;PTTG1;CMKLR1;PARK2;ADCY5;TNIK;MTMR3;BET1L;CDKN2B-AS1;C6orf10;BRP44;PLXNA1;RORA;HMGA1;DLG2;C1orf81;MDM4;FGF12;MACROD2;TIMM23;CDKN2B;HOMER1;ACTN1;IL23R;HORMAD2;CYP19A1;PHF19;
